nodeIP,date,sunPower,sunCurrent,sunVoltage,batteryVoltage,chargingCurrent,outputCurrent,outputVoltage,loadPower,systemTemp,batteryTemp,totalGenerated
10.0.70.40,2025-10-16 02:00:10,0.00W,0.00A,0.00V,12.39V,0.00A,0.12A,51.94V,6.23W,24,4,38855WH
10.0.70.40,2025-10-16 03:00:09,0.00W,0.00A,0.00V,12.34V,0.00A,0.10A,51.92V,5.19W,24,4,38855WH
10.0.70.40,2025-10-16 04:00:09,0.00W,0.00A,0.00V,12.32V,0.00A,0.12A,51.94V,6.23W,23,3,38855WH
10.0.70.40,2025-10-16 05:00:10,0.00W,0.00A,0.00V,12.28V,0.00A,0.10A,51.92V,5.19W,22,3,38855WH
10.0.70.40,2025-10-16 06:00:10,0.00W,0.00A,0.00V,12.24V,0.00A,0.10A,51.94V,5.19W,22,2,38855WH
10.0.70.40,2025-10-16 07:00:10,0.00W,0.00A,0.00V,12.22V,0.00A,0.12A,51.97V,6.24W,21,2,38855WH
10.0.70.40,2025-10-16 08:00:09,33.61W,2.45A,13.72V,13.15V,2.02A,0.10A,51.92V,5.19W,24,1,38858WH
10.0.70.40,2025-10-16 09:00:09,92.58W,4.21A,21.99V,14.56V,5.34A,0.25A,51.84V,12.96W,34,9,38910WH
10.0.70.40,2025-10-16 10:00:10,59.98W,2.59A,23.16V,14.58V,3.12A,0.25A,51.79V,12.95W,40,17,38976WH
10.0.70.40,2025-10-16 11:00:10,38.98W,1.66A,23.48V,14.58V,1.44A,0.22A,51.77V,11.39W,41,16,39018WH
10.0.70.40,2025-10-16 12:00:10,16.16W,0.68A,23.76V,14.58V,0.04A,0.24A,51.79V,12.43W,41,16,39040WH
10.0.70.40,2025-10-16 13:00:09,16.01W,0.68A,23.54V,14.58V,0.00A,0.24A,51.77V,12.42W,41,17,39055WH
10.0.70.40,2025-10-16 14:00:09,16.10W,0.68A,23.67V,14.58V,0.00A,0.24A,51.79V,12.43W,42,18,39069WH
10.0.70.40,2025-10-16 15:00:11,16.22W,0.68A,23.86V,15.03V,0.04A,0.24A,51.79V,12.43W,42,18,39082WH
10.0.70.40,2025-10-16 16:00:10,15.74W,0.68A,23.14V,15.09V,0.00A,0.22A,51.77V,11.39W,42,19,39095WH
10.0.70.40,2025-10-16 17:00:10,3.97W,0.29A,13.68V,12.66V,0.00A,0.22A,51.77V,11.39W,42,18,39101WH
10.0.70.40,2025-10-16 18:00:10,0.00W,0.00A,18.84V,12.54V,0.00A,0.22A,51.81V,11.40W,39,16,39102WH
10.0.70.40,2025-10-16 19:00:09,0.00W,0.00A,0.00V,12.54V,0.00A,0.10A,51.84V,5.18W,35,13,39102WH
10.0.70.40,2025-10-16 20:00:09,0.00W,0.00A,0.00V,12.54V,0.00A,0.09A,51.86V,4.67W,31,11,39102WH
10.0.70.40,2025-10-16 21:00:10,0.00W,0.00A,0.00V,12.51V,0.00A,0.10A,51.88V,5.19W,29,8,39102WH
10.0.70.40,2025-10-16 22:00:10,0.00W,0.00A,0.00V,12.49V,0.00A,0.10A,51.92V,5.19W,27,6,39102WH
10.0.70.40,2025-10-16 23:00:10,0.00W,0.00A,0.00V,12.45V,0.00A,0.10A,51.92V,5.19W,25,5,39102WH
10.0.70.40,2025-10-17 00:00:10,0.00W,0.00A,0.00V,12.41V,0.00A,0.10A,51.90V,5.19W,24,4,39102WH
10.0.70.40,2025-10-17 01:00:10,0.00W,0.00A,0.00V,12.37V,0.00A,0.10A,51.92V,5.19W,23,3,39102WH
10.0.70.40,2025-10-17 02:00:10,0.00W,0.00A,0.00V,12.35V,0.00A,0.12A,51.97V,6.24W,22,2,39102WH
10.0.70.40,2025-10-17 03:00:10,0.00W,0.00A,0.00V,12.30V,0.00A,0.10A,51.92V,5.19W,22,1,39102WH
10.0.70.40,2025-10-17 04:00:10,0.00W,0.00A,0.00V,12.26V,0.00A,0.10A,51.92V,5.19W,21,1,39102WH
10.0.70.40,2025-10-17 05:00:10,0.00W,0.00A,0.00V,12.22V,0.00A,0.12A,51.97V,6.24W,21,1,39102WH
10.0.70.40,2025-10-17 06:00:09,0.00W,0.00A,0.00V,12.20V,0.00A,0.10A,51.94V,5.19W,21,1,39102WH
10.0.70.40,2025-10-17 07:00:10,0.00W,0.00A,0.00V,12.20V,0.00A,0.12A,51.95V,6.23W,22,2,39102WH
10.0.70.40,2025-10-17 08:00:09,28.85W,2.15A,13.42V,12.86V,1.34A,0.18A,51.92V,9.35W,25,3,39104WH
